#bin	chrom	chromStart	chromEnd	name	length	cpgNum	gcNum	perCpg	perGc	obsExp
107	chr1	36568608	36569851	CpG: 128	1243	128	766	20.6	61.6	1.09
151	chr1	82313020	82313491	CpG: 56	471	56	319	23.8	67.7	1.06
234	chr1	169213895	169215283	CpG: 145	1388	145	958	20.9	69	0.88
611	chr1	3521705	3521924	CpG: 27	219	27	167	24.7	76.3	0.86
612	chr1	3660700	3661155	CpG: 34	455	34	293	14.9	64.4	0.72
612	chr1	3661735	3662237	CpG: 45	502	45	348	17.9	69.3	0.75
619	chr1	4481782	4483754	CpG: 165	1972	165	1286	16.7	65.2	0.79
619	chr1	4487028	4487689	CpG: 47	661	47	393	14.2	59.5	0.81
619	chr1	4561722	4562156	CpG: 44	434	44	265	20.3	61.1	1.09
620	chr1	4679265	4679478	CpG: 24	213	24	149	22.5	70	0.96
621	chr1	4775457	4775895	CpG: 49	438	49	289	22.4	66	1.04
621	chr1	4797640	4798184	CpG: 73	544	73	367	26.8	67.5	1.18
621	chr1	4847546	4848453	CpG: 83	907	83	545	18.3	60.1	1.01
623	chr1	5008638	5009792	CpG: 77	1154	77	714	13.3	61.9	0.71
623	chr1	5073120	5073617	CpG: 49	497	49	329	19.7	66.2	0.9
630	chr1	5906509	5907555	CpG: 85	1046	85	649	16.3	62	0.85
632	chr1	6204511	6205413	CpG: 107	902	107	645	23.7	71.5	0.93
633	chr1	6349163	6349523	CpG: 29	360	29	245	16.1	68.1	0.72
633	chr1	6372972	6373284	CpG: 42	312	42	229	26.9	73.4	1
634	chr1	6431281	6431693	CpG: 36	412	36	209	17.5	50.7	1.36
639	chr1	7078572	7079352	CpG: 85	780	85	540	21.8	69.2	0.91
641	chr1	7387827	7388675	CpG: 64	848	64	543	15.1	64	0.74
655	chr1	9289296	9290101	CpG: 61	805	61	512	15.2	63.6	0.76
657	chr1	9535350	9536349	CpG: 97	999	97	666	19.4	66.7	0.87
658	chr1	9689866	9690962	CpG: 87	1096	87	624	15.9	56.9	0.98
659	chr1	9737641	9738726	CpG: 89	1085	89	631	16.4	58.2	0.98
659	chr1	9787902	9788733	CpG: 95	831	95	493	22.9	59.3	1.3
660	chr1	9838246	9838611	CpG: 40	365	40	265	21.9	72.6	0.88
660	chr1	9933866	9934277	CpG: 46	411	46	277	22.4	67.4	1
660	chr1	9957199	9958411	CpG: 128	1212	128	811	21.1	66.9	0.94
661	chr1	10028031	10028296	CpG: 31	265	31	167	23.4	63	1.21
661	chr1	10029826	10030360	CpG: 60	534	60	387	22.5	72.5	0.89
662	chr1	10222224	10223509	CpG: 136	1285	136	780	21.2	60.7	1.15
667	chr1	10795380	10795966	CpG: 45	586	45	371	15.4	63.3	0.77
668	chr1	10983567	10984086	CpG: 56	519	56	324	21.6	62.4	1.11
672	chr1	11404141	11404546	CpG: 44	405	44	283	21.7	69.9	0.89
684	chr1	12980799	12981281	CpG: 34	482	34	307	14.1	63.7	0.7
684	chr1	12981566	12982865	CpG: 98	1299	98	734	15.1	56.5	0.95
684	chr1	12986303	12986516	CpG: 16	213	16	129	15	60.6	0.82
685	chr1	13116379	13116750	CpG: 30	371	30	238	16.2	64.2	0.79
686	chr1	13362827	13364875	CpG: 188	2048	188	1298	18.4	63.4	0.92
688	chr1	13579243	13580258	CpG: 101	1015	101	623	19.9	61.4	1.06
689	chr1	13650312	13650813	CpG: 49	501	49	344	19.6	68.7	0.83
694	chr1	14299828	14300117	CpG: 35	289	35	209	24.2	72.3	0.93
695	chr1	14496622	14497229	CpG: 48	607	48	394	15.8	64.9	0.75
